vehicle_age,vehicle_type,annual_mileage,city_driving_pct,highway_driving_pct,daily_driving_hours,hard_braking_events,rapid_acceleration_events,engine_temperature,engine_vibration,oil_age_km,brake_wear_pct,tire_pressure_avg,battery_voltage,last_service_km,previous_repairs,service_frequency,maintenance_risk
12,Hatchback,6315,75,25,0.8,3,6,86.6,3.33,928,61.5,30.6,11.79,4859,5,Occasional,Medium
5,SUV,26553,82,18,4.2,14,4,93.3,1.69,1270,74.1,34.6,12.87,27546,3,Rare,Medium
1,Sedan,29682,27,73,1.1,0,1,86.9,0.93,3360,17.1,32.5,13.27,29600,8,Regular,Low
12,SUV,24464,36,64,0.6,3,2,100.9,1.3,13533,22.1,31.1,12.48,24735,2,Regular,Medium
10,Pickup,36419,76,24,0.8,1,8,96.2,4.63,7225,62.2,33.6,12.99,21871,6,Regular,High
6,Sedan,18767,81,19,2.2,9,11,88.2,2.48,8141,35.7,30.9,12.61,904,5,Occasional,Low
13,Sedan,11466,30,70,3.2,3,3,101.6,4.62,9353,60.8,33.1,12.58,8426,3,Regular,High
12,Pickup,36028,86,14,2.3,13,13,97.9,2.68,6087,46.8,34.1,13.31,26527,5,Occasional,High
9,Hatchback,9240,59,41,2.5,8,10,99.5,4.54,9296,45.6,30.7,12.99,27160,8,Regular,High
1,Pickup,36459,59,41,4.6,10,9,86.2,3.05,13659,45.2,28.8,13.25,17851,3,Occasional,Medium
11,SUV,30396,75,25,3.9,8,5,98.5,2.08,846,35.6,30.5,12.67,4601,4,Occasional,Medium
11,Pickup,21795,72,28,2.0,12,12,83.9,1.5,5578,42.6,30.1,12.79,2136,1,Regular,Low
15,Hatchback,29689,47,53,1.2,7,8,96.1,2.17,8446,8.2,31.2,13.4,2798,2,Rare,Low
10,Pickup,19910,61,39,3.9,10,5,83.3,1.3,3332,33.5,28.8,13.18,20202,7,Regular,Medium
12,SUV,7446,65,35,3.1,8,5,83.6,4.92,5215,33.5,32.6,12.86,20957,3,Regular,Medium
12,SUV,8346,37,63,4.8,5,1,90.9,2.07,7704,56.9,36.4,13.05,17081,8,Occasional,High
15,Hatchback,9142,42,58,4.6,3,7,91.0,3.01,7144,62.4,33.5,12.53,26752,6,Rare,High
14,SUV,21070,45,55,3.0,1,1,92.2,4.99,7385,44.4,31.8,12.36,24949,8,Regular,High
14,SUV,12087,48,52,0.8,4,4,94.3,2.84,14214,14.4,35.4,11.79,15867,5,Occasional,High
15,Pickup,28752,71,29,0.6,2,9,93.0,1.9,14739,82.8,32.1,13.03,5260,5,Regular,Medium
14,Sedan,20635,65,35,4.3,8,10,100.7,3.26,7109,78.2,34.5,11.83,2363,7,Occasional,High
3,SUV,27218,20,80,3.6,1,2,90.4,4.18,983,56.6,31.6,12.95,18599,6,Regular,Low
12,SUV,36873,82,18,3.0,16,10,90.6,3.27,9598,46.1,35.6,12.47,14244,8,Regular,High
7,Hatchback,19724,35,65,3.6,2,4,83.6,1.49,5963,79.9,33.2,12.68,18645,5,Rare,Low
4,Hatchback,36351,44,56,2.9,1,0,90.8,1.37,10049,75.4,33.1,12.46,11436,0,Regular,Low
9,Pickup,36433,81,19,3.1,14,14,83.4,3.73,10878,59.7,35.6,12.6,2418,4,Regular,High
3,Pickup,14261,35,65,1.5,3,2,86.8,4.32,5235,35.4,31.0,12.31,21022,5,Occasional,Low
5,SUV,18479,88,12,2.5,6,3,87.2,3.65,5142,60.3,29.9,12.75,4012,4,Rare,Low
3,Sedan,20804,89,11,0.5,16,8,92.3,0.92,14224,11.0,33.0,13.67,16895,5,Regular,Low
7,Sedan,32245,53,47,3.5,7,7,97.8,1.95,4037,21.7,32.3,13.41,27691,5,Occasional,Medium
5,Pickup,17827,72,28,2.0,8,11,85.3,3.58,14550,88.8,33.9,13.26,7188,3,Rare,Medium
9,Hatchback,17040,42,58,3.5,3,5,103.5,3.7,7502,88.0,29.7,13.31,23661,8,Rare,High
7,SUV,24477,62,38,4.7,4,4,95.6,2.59,3366,38.8,37.0,13.76,21566,6,Regular,High
2,SUV,21127,63,37,3.2,7,8,86.4,1.84,4856,28.1,36.5,12.58,28851,3,Regular,Low
4,Sedan,26182,51,49,2.0,5,4,100.4,0.91,14026,82.8,32.7,13.44,27951,0,Regular,Low
9,Pickup,31049,42,58,1.4,2,7,90.6,0.74,5903,79.8,35.1,13.57,7788,0,Regular,Low
12,Sedan,29527,39,61,1.6,1,7,90.6,1.01,9079,93.2,31.1,13.59,8747,1,Occasional,Low
14,Sedan,17473,38,62,4.9,6,2,86.9,2.02,1172,40.1,32.5,12.39,7419,3,Occasional,Low
2,Pickup,21709,48,52,3.3,7,4,95.5,3.24,3918,74.7,32.8,11.69,15342,4,Occasional,Medium
10,Hatchback,38974,37,63,2.5,7,4,86.0,4.32,8813,61.1,32.3,11.87,22643,2,Occasional,Medium
9,SUV,18714,88,12,1.5,9,10,85.6,1.63,7818,13.9,30.8,13.34,5286,7,Regular,Low
10,Hatchback,39208,31,69,4.0,6,2,79.5,0.84,14361,72.2,30.4,11.65,2553,6,Regular,Medium
5,Pickup,36945,29,71,2.2,3,3,98.9,4.85,7848,24.1,29.6,12.82,3453,5,Regular,Medium
2,Pickup,26568,56,44,1.9,6,6,88.9,3.28,3250,27.6,33.1,12.54,7704,0,Regular,Low
4,SUV,14147,74,26,1.5,3,5,104.2,1.14,759,86.7,31.6,11.55,3458,5,Regular,Medium
12,Hatchback,21267,23,77,1.3,1,1,95.7,1.63,1432,40.0,32.1,12.92,7113,3,Occasional,Low
15,SUV,36452,82,18,1.7,15,9,98.1,2.38,3433,79.6,35.5,12.62,5102,4,Regular,High
12,Sedan,10136,31,69,3.3,6,2,99.1,4.85,5480,38.8,30.6,11.6,15761,6,Rare,High
7,Sedan,37579,37,63,1.6,4,6,93.1,1.03,3152,23.6,29.9,12.24,16229,8,Regular,Low
12,Sedan,36516,27,73,0.8,1,2,95.3,2.42,10100,22.7,28.9,12.99,14382,5,Occasional,Medium
13,Hatchback,16446,51,49,2.1,10,2,99.7,2.47,6493,42.9,32.8,12.13,19721,4,Regular,High
8,Sedan,29524,68,32,3.1,11,5,95.7,4.96,11190,38.9,30.3,12.27,27662,0,Regular,High
15,SUV,18188,82,18,0.8,3,10,87.0,1.37,2679,29.1,29.3,13.65,12246,6,Rare,Medium
3,Hatchback,10560,78,22,2.5,5,6,88.0,2.61,8581,37.6,30.8,12.57,5140,6,Occasional,Low
14,SUV,16657,86,14,0.7,0,4,93.2,4.94,13985,17.8,32.1,13.34,23698,8,Regular,Medium
1,Pickup,23840,58,42,4.0,7,5,83.8,3.46,1530,6.3,31.7,13.22,2931,5,Regular,Low
4,Hatchback,16324,69,31,4.4,7,6,89.0,1.24,14384,57.8,36.6,13.23,16997,1,Occasional,Low
2,SUV,30247,90,10,4.8,3,15,89.2,4.71,7412,93.9,31.6,13.26,28678,2,Regular,Medium
8,SUV,22558,45,55,3.6,3,0,83.1,2.94,11472,29.1,25.6,12.08,3922,4,Regular,Medium
4,Hatchback,24943,42,58,3.3,8,3,94.0,4.16,11820,29.7,32.7,13.33,867,3,Occasional,Low
2,Pickup,20372,82,18,3.6,11,5,98.2,4.13,10752,93.1,32.3,13.57,23460,7,Regular,High
14,Hatchback,17631,85,15,4.3,15,3,94.9,2.99,8426,68.8,34.5,12.35,27207,4,Regular,High
6,Sedan,6472,58,42,4.1,10,6,78.4,4.17,2637,90.7,32.8,12.39,17649,7,Regular,Medium
6,Sedan,31955,85,15,2.5,16,9,86.2,4.48,10891,20.1,32.7,12.85,11469,0,Rare,Low
10,Pickup,35802,65,35,3.4,1,0,98.8,4.16,1191,12.2,26.8,13.3,23959,3,Regular,High
4,SUV,9872,34,66,1.2,2,4,96.2,3.34,1337,23.4,32.6,14.1,9277,7,Occasional,Low
6,SUV,32547,35,65,3.6,3,2,98.5,3.14,5592,67.4,30.8,14.15,18095,1,Occasional,Low
13,SUV,18691,35,65,3.8,4,6,87.9,2.59,3598,87.5,30.4,12.21,2998,3,Occasional,Medium
15,Hatchback,9753,58,42,4.1,7,8,91.3,0.86,1966,7.1,32.8,12.3,26989,4,Regular,Medium
2,Hatchback,6833,30,70,4.2,1,3,103.1,2.65,5720,53.6,30.8,13.07,20492,6,Regular,Low
10,Pickup,13645,55,45,2.5,2,9,85.3,3.33,937,8.5,33.8,13.89,16197,5,Regular,Low
12,Sedan,35441,37,63,4.6,3,5,91.3,2.54,9106,89.8,31.1,13.75,1131,0,Occasional,Low
2,SUV,20062,42,58,4.9,2,6,93.4,2.38,4075,35.1,34.4,12.62,26354,8,Regular,Medium
10,Sedan,14635,68,32,4.9,13,12,89.6,1.56,3303,76.5,35.1,12.7,11209,5,Regular,High
14,Hatchback,25064,61,39,3.1,12,10,89.6,2.15,3399,23.2,32.6,12.84,25455,1,Regular,Medium
4,Hatchback,14940,63,37,3.0,1,1,110.4,1.42,13384,41.2,31.8,12.23,23071,3,Regular,Medium
14,Hatchback,18111,20,80,2.6,3,1,93.6,0.85,12368,67.3,37.4,12.74,20633,7,Regular,High
15,Sedan,34739,26,74,1.8,1,3,96.2,3.76,12555,68.8,33.9,12.02,8415,5,Regular,High
15,Pickup,22793,67,33,2.0,10,2,102.7,3.65,8923,84.5,36.7,12.79,26326,5,Regular,High
8,Pickup,23146,35,65,1.5,5,3,85.9,2.83,3895,72.1,31.4,13.45,18107,8,Regular,Low
14,Hatchback,38677,67,33,4.8,1,6,88.0,0.86,9600,36.4,33.9,12.51,20108,6,Regular,Medium
7,SUV,5760,62,38,3.3,9,5,81.4,3.27,663,40.8,33.0,12.78,4805,8,Occasional,Low
12,Sedan,28022,70,30,4.7,13,10,88.6,1.76,14755,61.8,34.5,14.45,3725,0,Occasional,Medium
9,Hatchback,10612,85,15,2.2,4,7,91.7,4.77,3872,49.8,30.2,13.38,14097,1,Regular,Low
14,Sedan,32265,50,50,1.8,1,8,92.6,0.72,13808,24.9,36.6,13.53,15527,7,Regular,Medium
8,Sedan,5530,58,42,1.1,7,8,93.9,0.51,11389,47.3,32.3,12.03,10939,0,Occasional,Low
5,Pickup,14551,28,72,1.9,3,3,91.3,4.25,3208,51.2,31.7,12.43,26730,2,Regular,Low
13,Hatchback,33394,60,40,4.5,11,6,95.4,1.54,3045,54.5,31.2,13.13,24505,6,Occasional,High
2,Pickup,7560,82,18,3.1,7,3,94.8,3.52,7264,15.8,33.4,12.93,29039,4,Regular,Low
15,Hatchback,23561,33,67,2.5,3,5,86.1,2.07,12611,31.2,30.7,12.97,14847,6,Rare,Medium
5,Sedan,10103,77,23,3.1,11,11,96.9,4.21,9193,91.8,31.5,12.68,7354,4,Regular,High
8,Pickup,29090,83,17,4.5,1,7,100.6,4.34,10470,88.4,29.1,13.52,2534,8,Regular,High
10,Sedan,22921,47,53,1.4,1,2,101.3,4.74,8418,23.1,32.1,12.75,17092,3,Occasional,Medium
9,Hatchback,7781,23,77,4.8,2,3,93.2,2.23,13522,51.0,31.1,13.19,26670,0,Rare,Low
12,SUV,22330,53,47,3.5,1,8,98.8,0.53,11435,26.1,30.9,11.42,16976,3,Regular,Medium
12,Pickup,10257,23,77,4.3,4,2,102.7,1.15,14702,80.0,30.4,12.97,22715,0,Regular,Medium
12,Pickup,39956,89,11,2.9,12,11,97.3,1.89,7745,56.6,33.1,12.75,1354,0,Regular,Medium
13,Sedan,20615,77,23,1.6,12,11,89.4,4.14,1264,80.6,32.3,12.58,7189,6,Regular,High
9,Sedan,5881,23,77,3.1,1,1,96.4,4.6,1202,40.8,34.3,11.57,5592,7,Occasional,High
13,SUV,6847,69,31,0.8,7,4,94.1,1.45,9072,37.0,34.7,12.94,26165,3,Rare,Medium
15,Pickup,27110,24,76,4.3,1,3,100.9,2.26,11458,45.0,35.1,12.59,8107,5,Regular,High
13,Hatchback,21314,64,36,3.4,3,6,95.1,3.05,11956,48.1,31.8,12.5,1162,3,Occasional,Medium
1,Hatchback,35118,54,46,1.8,6,5,92.8,1.75,1940,75.2,34.2,13.25,17880,1,Rare,Low
9,Pickup,27966,46,54,1.7,3,8,99.1,2.04,13284,30.6,34.4,13.12,15106,4,Occasional,Medium
7,Pickup,16320,21,79,4.6,4,3,96.2,4.04,7955,51.3,34.0,13.62,11412,1,Regular,Medium
9,Pickup,7216,73,27,4.3,15,3,103.7,1.26,4286,85.9,34.3,11.87,12823,2,Regular,High
8,SUV,30564,67,33,3.9,0,5,93.3,2.93,12889,41.3,33.5,12.03,25250,4,Occasional,Medium
1,Hatchback,29401,68,32,2.4,10,10,104.6,3.12,1219,72.7,31.3,13.36,3484,0,Regular,Low
12,Hatchback,16780,20,80,4.4,0,0,95.9,1.14,6506,16.5,30.7,12.86,21149,5,Regular,Low
8,Sedan,15694,52,48,1.6,6,3,95.8,3.66,617,14.0,33.9,12.72,9767,7,Occasional,Medium
8,Sedan,9809,54,46,0.6,2,3,87.9,1.4,4983,32.8,35.2,13.03,19345,6,Regular,Low
15,Pickup,21562,73,27,2.4,14,5,84.9,3.64,11429,40.5,31.2,12.66,25702,0,Regular,Medium
11,Sedan,37441,75,25,4.6,13,3,104.1,2.3,12784,45.2,29.8,12.96,15400,1,Rare,High
3,SUV,6929,34,66,3.1,4,4,90.8,3.25,4971,60.5,35.0,14.46,21933,4,Regular,Low
1,Hatchback,34617,88,12,1.5,3,6,99.0,3.12,2945,83.9,33.7,12.19,18939,5,Regular,Medium
8,Hatchback,19244,23,77,3.4,4,2,82.7,4.93,7900,19.9,34.5,12.69,15507,4,Occasional,Medium
3,Sedan,37879,83,17,3.9,9,4,90.9,0.79,10006,6.5,33.6,13.8,26292,0,Regular,Low
3,Pickup,16116,41,59,3.0,5,6,99.8,1.75,8040,79.7,33.0,12.89,25874,5,Occasional,Medium
1,Sedan,27418,43,57,4.3,6,2,98.6,3.15,13473,18.8,34.2,12.68,26664,2,Occasional,Medium
11,Pickup,20707,66,34,3.2,5,10,95.0,3.91,7419,6.3,29.9,12.57,2523,0,Regular,Medium
5,SUV,22765,25,75,0.9,0,1,88.3,4.52,2657,10.4,27.1,12.5,26362,7,Occasional,Medium
10,Hatchback,18100,46,54,4.1,3,3,94.1,0.94,12643,71.8,32.3,12.81,2893,4,Regular,Low
7,SUV,28867,29,71,1.2,2,4,89.7,1.76,9498,73.4,32.3,12.14,24231,3,Occasional,Low
10,Hatchback,6208,58,42,4.5,4,5,92.5,1.01,14115,24.1,33.6,13.94,17250,4,Occasional,Low
9,SUV,5036,56,44,2.8,9,2,89.4,0.83,2024,32.3,32.9,13.4,21792,7,Regular,Low
12,Sedan,23212,73,27,3.8,5,9,75.0,0.59,5353,49.1,26.2,11.83,14086,1,Regular,High
7,SUV,16252,70,30,4.9,6,2,83.2,4.12,6498,28.5,34.2,13.62,23158,8,Rare,Medium
9,SUV,24725,79,21,2.4,1,3,96.9,1.2,6900,83.4,29.4,13.1,22050,8,Regular,Medium
8,Sedan,12006,70,30,2.6,10,3,92.1,2.25,8511,30.7,32.9,12.52,27566,6,Regular,Medium
12,Hatchback,29059,81,19,4.2,3,9,99.8,0.55,10386,63.8,30.2,13.03,14778,3,Rare,Medium
2,Hatchback,10347,68,32,1.0,3,7,84.6,4.23,6691,14.2,29.7,12.26,25409,0,Regular,Low
1,Sedan,37171,70,30,0.6,8,7,101.2,0.99,7697,45.3,26.5,13.18,8735,7,Rare,Medium
7,SUV,33517,47,53,3.2,9,1,96.0,2.5,4186,9.3,31.9,12.6,11605,2,Regular,Low
7,SUV,29274,55,45,1.3,5,8,81.0,2.12,6659,46.9,33.7,12.72,27338,2,Occasional,Low
14,SUV,38577,44,56,1.7,3,1,94.2,1.64,4850,5.1,32.5,12.1,17321,4,Regular,Low
8,Pickup,32648,55,45,4.9,0,9,95.9,2.58,6593,6.9,30.6,12.05,23253,8,Occasional,High
5,Hatchback,9118,79,21,3.4,12,1,91.6,0.68,8563,53.1,28.4,13.68,19241,4,Regular,Low
3,SUV,22910,26,74,4.4,1,4,105.4,2.14,9483,6.0,33.4,11.77,27403,2,Regular,Medium
12,Hatchback,18083,84,16,4.5,13,5,90.9,2.92,734,77.3,28.8,12.16,5892,1,Occasional,High
8,SUV,18187,55,45,1.0,3,7,80.7,3.23,6196,31.5,27.0,12.53,4517,0,Regular,Low
6,Sedan,5424,49,51,4.7,0,3,95.6,2.97,6999,15.6,36.3,12.84,14693,0,Occasional,Low
11,Sedan,31641,66,34,4.4,7,9,88.5,2.54,9829,50.8,32.3,12.63,25624,7,Regular,High
3,Hatchback,39750,48,52,0.7,9,4,92.6,3.13,13310,75.5,34.4,12.43,16197,4,Regular,Medium
1,Hatchback,20918,24,76,4.9,1,2,90.3,0.9,8268,85.1,29.5,13.03,7683,5,Regular,Low
3,Sedan,28154,84,16,2.6,3,11,97.4,1.89,3520,75.0,30.4,13.09,29476,3,Regular,Low
5,Pickup,16992,88,12,4.9,3,2,83.2,4.85,6211,57.1,35.6,12.35,25362,1,Occasional,Medium
15,Sedan,39001,82,18,4.2,11,4,98.9,4.81,10960,88.5,31.2,12.89,12782,1,Rare,High
14,SUV,19546,75,25,2.5,6,11,94.7,3.33,4870,45.4,38.9,12.16,3727,8,Occasional,High
3,Pickup,8019,36,64,2.8,2,5,97.1,2.75,13762,66.5,32.3,11.59,14154,6,Regular,Medium
1,Sedan,6304,70,30,1.7,5,12,75.1,1.54,518,26.1,33.7,12.49,4747,3,Occasional,Low
5,Pickup,21832,56,44,2.7,3,0,103.0,2.12,14482,42.2,32.4,12.75,3827,1,Regular,Low
10,Pickup,27791,28,72,1.0,3,1,83.9,3.41,13055,42.9,30.1,11.99,29818,5,Occasional,Medium
7,Pickup,15022,57,43,4.6,2,3,99.2,4.16,8212,7.2,29.9,13.27,18096,1,Occasional,Medium
15,Hatchback,15350,72,28,3.7,7,9,82.2,4.22,13369,27.0,29.3,12.74,18855,1,Regular,High
14,Sedan,16818,32,68,4.1,2,2,88.2,1.12,11865,42.1,29.8,13.05,7996,6,Regular,Low
7,Hatchback,38617,72,28,2.9,13,4,94.6,2.77,8989,43.2,31.6,12.76,4712,8,Regular,Medium
11,Hatchback,8962,68,32,1.1,6,3,89.3,3.71,4845,87.4,35.2,13.14,29383,1,Rare,Medium
9,SUV,9854,89,11,2.9,2,15,91.3,3.63,4518,80.2,28.1,12.46,16822,4,Rare,High
15,SUV,39307,54,46,2.0,10,5,80.9,4.88,7723,49.5,33.7,12.73,27002,5,Occasional,High
15,Pickup,7944,35,65,0.5,7,1,99.7,1.07,1320,66.5,30.8,12.73,15282,5,Rare,Medium
10,Pickup,27327,32,68,3.3,1,3,92.3,2.58,1482,36.7,35.7,13.03,9005,5,Occasional,Low
10,SUV,8244,30,70,4.3,5,1,102.9,0.85,7875,22.7,32.9,13.55,5925,0,Regular,Low
12,SUV,27720,21,79,3.7,4,1,101.5,3.07,4381,21.0,27.6,12.18,6140,4,Occasional,High
13,Sedan,30090,38,62,1.5,3,5,86.2,3.58,4268,10.9,33.6,13.31,11537,0,Regular,Low
3,Pickup,39359,64,36,4.2,2,9,92.7,0.84,4375,47.8,31.2,12.94,19854,1,Regular,Low
15,Pickup,12855,65,35,1.9,10,5,95.5,2.9,7044,76.4,31.7,13.6,5683,3,Occasional,Medium
7,SUV,6601,66,34,1.5,0,2,93.2,4.88,4741,17.8,36.5,12.28,7002,1,Regular,Low
1,Sedan,36952,68,32,4.8,8,3,88.5,0.66,7671,70.0,31.8,13.08,8434,3,Regular,Low
4,SUV,10690,61,39,0.6,4,6,92.1,1.3,14160,48.8,27.7,12.47,17956,7,Occasional,Medium
13,SUV,17521,52,48,1.3,6,6,85.2,2.96,934,33.5,33.6,12.88,24798,6,Regular,Medium
4,Hatchback,39610,60,40,2.6,9,9,96.2,3.71,2951,72.6,30.7,13.27,5848,2,Regular,Medium
14,Pickup,15483,88,12,1.3,15,4,95.6,4.21,950,47.7,32.3,12.46,2602,6,Regular,High
5,Sedan,13058,38,62,1.3,8,4,82.6,1.84,5851,51.9,31.5,12.67,28420,1,Regular,Low
7,Hatchback,18704,58,42,3.4,7,0,109.1,2.01,11308,21.9,33.7,12.69,29716,4,Rare,High
7,Pickup,10565,26,74,4.2,1,2,93.9,4.05,14209,69.4,28.4,12.96,13212,5,Occasional,Medium
13,SUV,35615,58,42,3.5,3,4,87.7,2.39,6351,86.4,31.9,13.1,27969,5,Occasional,Medium
15,Sedan,6927,53,47,1.0,5,1,87.5,4.44,5475,11.1,34.0,13.13,19257,6,Rare,Medium
11,Pickup,20512,63,37,4.5,11,10,102.1,4.64,12575,31.5,33.0,12.86,19731,0,Regular,High
13,SUV,13301,88,12,4.7,6,2,80.5,4.33,13917,16.6,34.9,13.29,9007,1,Occasional,Medium
4,Hatchback,26313,87,13,1.8,12,4,93.8,0.88,2316,8.5,27.6,13.28,29581,8,Regular,Medium
13,Sedan,13457,82,18,3.0,1,11,102.0,2.93,12339,12.9,33.6,13.17,11227,8,Rare,High
7,Pickup,10492,90,10,2.7,8,3,80.1,4.76,9586,36.3,33.9,12.49,7515,8,Regular,Medium
11,Hatchback,8223,67,33,3.5,2,1,86.5,4.84,14197,54.5,33.7,13.17,13767,7,Occasional,Medium
3,SUV,27511,22,78,4.9,4,4,91.9,2.87,11673,8.7,34.1,13.21,17823,3,Occasional,Low
6,SUV,26455,53,47,4.9,8,3,93.9,2.45,1345,34.3,33.8,14.06,13120,8,Rare,Medium
12,Pickup,38722,28,72,2.8,1,0,97.3,1.35,10745,56.0,32.3,13.26,13264,7,Occasional,Medium
2,SUV,28434,80,20,0.9,6,2,87.9,4.99,10531,53.4,35.6,12.44,19861,1,Occasional,Medium
10,Sedan,35341,39,61,2.0,1,2,91.8,3.29,9291,91.1,33.2,13.74,13975,3,Rare,Medium
13,Pickup,20007,59,41,2.4,9,10,107.8,0.86,14916,78.1,29.3,12.88,10870,7,Regular,High
14,Hatchback,39342,31,69,2.9,1,0,95.4,4.45,12815,91.2,30.5,13.51,7195,4,Regular,High
9,Pickup,31799,47,53,4.8,8,7,80.3,3.46,5473,37.3,35.8,12.52,5975,4,Regular,Medium
5,Pickup,20674,67,33,1.7,1,9,87.6,1.99,12656,50.6,29.9,13.57,19497,3,Regular,Low
6,Hatchback,20426,26,74,2.9,3,2,76.9,1.33,9141,62.3,29.6,13.09,25934,0,Regular,Low
12,SUV,12095,33,67,1.8,4,6,94.0,3.49,2802,79.9,33.3,12.91,28268,1,Regular,Medium
12,Hatchback,29104,38,62,4.6,3,0,85.9,0.54,7578,7.9,30.9,12.36,8539,0,Rare,Low
12,Sedan,8255,73,27,5.0,2,7,82.7,4.39,12444,56.2,30.2,12.48,20910,6,Occasional,High
12,SUV,38826,79,21,4.4,5,4,82.6,3.33,9447,53.7,33.5,13.38,11568,4,Rare,Medium
4,Pickup,39725,86,14,2.0,9,12,104.4,1.46,6006,27.5,29.2,13.12,7188,7,Regular,Medium
14,SUV,28032,53,47,1.8,10,2,95.1,3.63,1004,14.2,36.2,12.08,8905,3,Regular,High
14,SUV,9944,60,40,2.4,5,9,84.1,1.68,10298,39.6,31.1,12.52,8429,0,Regular,Low
11,Sedan,35497,50,50,3.9,2,4,88.9,4.48,14580,76.0,30.7,12.12,20256,1,Regular,High
10,SUV,32723,58,42,0.5,0,1,95.1,3.48,8612,65.7,31.1,13.32,706,2,Rare,Low
7,SUV,16845,71,29,5.0,0,0,88.5,4.49,2785,18.2,33.1,12.58,7051,7,Regular,Low
12,SUV,29297,66,34,4.5,6,8,95.2,3.78,12054,42.2,33.4,12.89,4605,7,Regular,High
9,Pickup,7570,39,61,0.6,2,7,91.5,2.27,12822,21.4,30.0,13.24,28877,7,Rare,Low
7,SUV,32503,71,29,2.2,2,12,96.3,4.17,6564,13.5,31.2,12.88,1340,1,Regular,Low
14,Hatchback,12450,90,10,3.6,3,14,92.9,4.17,3761,23.3,28.1,12.42,17375,3,Regular,High
1,SUV,25271,81,19,1.6,6,6,89.1,4.87,2947,70.8,31.5,13.42,15559,2,Regular,Low
1,Sedan,20898,24,76,1.1,3,4,94.2,3.29,1716,60.2,34.0,13.86,17172,3,Regular,Low
9,SUV,19389,76,24,3.3,9,9,86.6,3.59,5365,16.8,29.6,11.29,21098,7,Occasional,High
11,SUV,30463,23,77,4.6,0,0,89.8,2.67,14774,72.3,33.2,13.47,21919,7,Regular,Medium
